,Source_Get,RAJ2000_Get,DEJ2000_Get,Jmag_Get,e_Jmag_Get,Hmag_Get,e_Hmag_Get,Ksmag_Get,e_Ksmag_Get,Flag_Get,IRAC_Get,3.6mag_Get,e_3.6mag_Get,4.5mag_Get,e_4.5mag_Get,5.8mag_Get,e_5.8mag_Get,8.0mag_Get,e_8.0mag_Get,ACIS_Get,alpha_Get,e_alpha_Get,Class_Get,Av_Get,AgeJX_Get,AngDist_Get,designation_Ga,source_id_Ga,ra_Ga,ra_error_Ga,dec_Ga,dec_error_Ga,parallax_Ga,parallax_error_Ga,pmra_Ga,pmra_error_Ga,pmdec_Ga,pmdec_error_Ga,radial_velocity_Ga,radial_velocity_error_Ga,phot_g_mean_mag_Ga,phot_g_mean_flux_Ga,phot_g_mean_flux_error_Ga,phot_bp_mean_mag_Ga,phot_bp_mean_flux_Ga,phot_bp_mean_flux_error_Ga,phot_rp_mean_mag_Ga,phot_rp_mean_flux_Ga,phot_rp_mean_flux_error_Ga,teff_val_Ga,teff_percentile_lower_Ga,teff_percentile_upper_Ga,a_g_val_Ga,a_g_percentile_lower_Ga,a_g_percentile_upper_Ga,e_bp_min_rp_val_Ga,angular_distance_Ga,designation.1_Ga,ph_qual_Ga,j_m_Ga,j_msigcom_Ga,h_m_Ga,h_msigcom_Ga,ks_m_Ga,ks_msigcom_Ga,angular_distance.1_Ga,u_mag_Ga,u_mag_error_Ga,g_mag_Ga,g_mag_error_Ga,r_mag_Ga,r_mag_error_Ga,i_mag_Ga,i_mag_error_Ga,z_mag_Ga,z_mag_error_Ga
0,182922.71+011033.0,277.344652,1.175852,12.16,0.03,11.12,0.03,10.9,0.02,AAA000,G031.4612+05.4440,10.65,0,10.62,0,10.64,0.01,10.4,0.01,c17  ,-2.67,0.01,NOD    ,2.8,2.3,0.2899253711,Gaia DR2 4273725319764934656,4.27372531976494E+018,277.3446813087,0.050841951,1.1757739678,0.0582227016,2.3346543726,0.0675104471,2.3771004532,0.0982814682,-8.2798932314,0.090622965,,,15.509548,11790.3634076183,28.8287890279,17.026003,2138.7203635349,30.4422282419,14.28365,15534.8826695053,115.9155151963,4133.335,3560,4790.66,,,,,0.0766369482,18292272+0110329,AAA,12.161,0.026,11.116,0.031,10.895,0.023,0.0150065924,20.545273,0.0546917,17.88076,0.019702386,15.911905,0.010795834,14.740157,0.014281594,13.968199,0.011641319
1,182933.06+011716.7,277.387788,1.287974,11.38,0.02,10.33,0.03,9.95,0.02,AAA000,G031.5812+05.4567,9.63,0.01,9.56,0.01,9.48,0.02,9.45,0.01,c95  ,-2.64,0.02,NOD    ,3.5,    ,0.3501031055,Gaia DR2 4273733016346339072,4.27373301634634E+018,277.3878044828,0.0666674855,1.2878736521,0.0687230326,2.2407578719,0.076264543,2.9797119512,0.1296168112,-8.0024196708,0.1129077089,,,14.977421,19247.6540445824,26.9278462873,16.607979,3143.1412543653,23.7209890783,13.711595,26310.5604606502,119.1770799278,4207.723,3658.555,4710.605,,,,,0.0469607778,18293307+0117165,AAA,11.377,0.022,10.33,0.031,9.947,0.024,0.0450286773,19.88137,0.038888004,17.52939,0.019556126,15.541231,0.010756878,14.301575,0.014262499,13.356031,0.011569576
2,182947.23+012235.6,277.44683,1.376564,11.8,0.02,10.52,0.03,10.08,0.02,AAA000,G031.6872+05.4445,9.79,0,9.73,0,9.68,0.01,9.6,0.02,c273 ,-2.66,0.01,NOD    ,5.3,0.6,1.0898970851,Gaia DR2 4273735455887766912,4.27373545588777E+018,277.446814199,0.0953190804,1.3762555905,0.0978730805,2.200909654,0.1125196245,2.6036369897,0.1759549562,-7.217453035,0.1573786249,,,16.01173,7424.273237044,17.5504984602,18.315067,652.4215802046,11.379767147,14.600803,11599.700883301,77.2028293135,3557,3345.6667,3852.3423,,,,,0.0197454512,18294723+0122346,AAA,11.797,0.022,10.52,0.031,10.082,0.021,,21.688,0.19,19.844,0.02,17.097,0.005,15.372,0.003,14.164,0.003
3,182953.55+011305.2,277.473135,1.218128,14.89,0.04,14.13,0.04,13.74,0.06,AAA000,G031.5578+05.3489,12.97,0.01,12.6,0.01,12.38,0.02,11.99,0.04,c348 ,-1.67,0.03,DSK    ,1.4,    ,0.2132991527,Gaia DR2 4273719886630142848,4.27371988663014E+018,277.4731424679,0.2580296023,1.2180645672,0.2620125475,2.0873597471,0.2859811529,1.5342218296,0.5166384137,-8.9363696204,0.5200426807,,,18.589235,691.2765563166,2.0336045709,21.003323,54.8562889283,13.9885535765,17.174349,1083.9970144452,8.1045429531,,,,,,,,0.0869253396,18295354+0113051,AAA,14.89,0.041,14.127,0.036,13.742,0.057,0.0229826077,23.707531,0.56411445,21.768187,0.061742973,19.911007,0.021535482,17.870796,0.0126014,16.774858,0.0151485475
4,182954.52+011447.1,277.477169,1.246425,14.17,0.04,13.33,0.04,12.8,0.04,AAA000,G031.5850+05.3582,12.24,0.01,12.07,0.01,12.05,0.03,11.89,0.02,c368 ,-2.45,0.03,NOD    ,1.4,5,0.2779801621,Gaia DR2 4273720234523650560,4.27372023452365E+018,277.477173505,0.4254362311,1.2463427361,0.421849722,2.3000134262,0.4772850197,2.8471014564,0.9947062514,-9.4804393491,1.1272886438,,,19.329111,349.7048698679,2.5715013009,100,100,1,100,100,1,,,,,,,,0.0347040086,18295452+0114469,AAA,14.174,0.041,13.332,0.042,12.8,0.035,0.0456621652,24.404188,0.40981945,23.673384,0.42894554,22.117512,0.1417794,19.168331,0.028769214,17.015545,0.017633941
5,182956.18+011057.5,277.484109,1.182642,12.5,0.03,11.7,0.03,11.41,0.02,AAA000,G031.5311+05.3229,11.28,0,11.27,0.01,11.21,0.01,11.02,0.04,c396 ,-2.75,0.02,NOD    ,1.3,4.9,0.1792636433,Gaia DR2 4273718963213324416,4.27371896321333E+018,277.4841076335,0.0467304484,1.1825866419,0.0469556893,2.2319024232,0.0516751976,2.2818120933,0.0912375289,-9.4798339848,0.0892648591,,,15.51449,11736.8179470825,19.2372099574,16.667233,2976.1986086043,23.3676418421,14.381967,14189.9716054742,71.3631770942,3668.0474,3482,4026.55,,,,,0.0132390626,18295618+0110574,AAA,12.496,0.025,11.705,0.028,11.412,0.023,0.1034352374,24.634724,3.503012,17.531956,0.37606442,18.482567,5.8795233,14.801373,0.032818053,14.163818,0.040119965
6,182956.89+011446.4,277.487057,1.246249,12.05,0.05,10.78,0.06,9.3,0.03,EEA000,G031.5893+05.3494,6.79,0,6.05,0,5.55,0.01,4.09,0.02,c415 ,-0.09,0.01,DSK    ,    ,    ,0.3147276135,Gaia DR2 4273720234523649408,4.27372023452365E+018,277.4870326454,0.2923792869,1.2461576446,0.3081787253,2.5609512018,0.3543782279,4.8107169615,0.6568954949,-11.0720236072,0.7341161405,,,16.250885,5956.5155938592,86.188949361,17.79026,1057.9160060623,57.4888681415,14.6905365,10679.5616976715,426.308180993,4288.4873,3384,4780.1953,,,,,0.0918155137,18295688+0114463,EEA,12.046,0.046,10.785,0.057,9.298,0.034,0.0190063937,21.457954,0.10455535,19.186556,0.018477,16.859041,0.01398453,15.467163,0.011866558,14.424023,0.0120152645
7,182958.20+011521.7,277.49253,1.256039,13.07,0.03,11.19,0.03,9.86,0.02,AAA000,G031.6007+05.3490,8.22,0,7.53,0,6.97,0.01,6.05,0.02,c508 ,-0.39,0.01,DSK    ,8.7,0.9,0.2478035051,Gaia DR2 4273721711992400256,4.2737217119924E+018,277.4925231034,0.2051666011,1.2559643579,0.2084904797,2.4212285699,0.2322092601,1.7747525282,0.4039756671,-8.5014007839,0.3838117239,,,18.2371,956.1068327298,17.7003434907,20.148804,120.5129702957,14.7108481141,16.627213,1794.2505157974,94.0897025786,,,,,,,,0.0840395038,18295820+0115216,AAA,13.072,0.029,11.188,0.028,9.859,0.022,0.012928321,22.302708,0.19604467,21.468412,0.047996555,18.87114,0.022207066,17.268143,0.015065209,15.746679,0.012731195
8,182959.25+011407.7,277.496909,1.235493,11.75,0.03,10.37,0.03,9.51,0.02,AAA000,G031.5842+05.3358,8.07,0.01,7.49,0.01,7.06,0.02,6.21,0.03,c529 ,-0.77,0.02,DSK    ,6.2,0.6,0.3042686676,Gaia DR2 4273720028365217408,4.27372002836522E+018,277.4968712535,0.089073543,1.2354087265,0.092888253,2.3119946257,0.1023776789,3.6418552167,0.19767152,-8.7406693701,0.2212631327,,,16.03556,7263.1008507495,104.5267173293,18.11698,783.0025702273,66.1925082444,14.680369,10780.0328614602,434.014733388,3730.6902,3475.5,4179.63,,,,,0.1120213868,18295924+0114077,AAA,11.75,0.025,10.368,0.03,9.505,0.02,0.0368589062,21.473276,0.10331034,19.673252,0.02003492,17.091002,0.013805236,15.47913,0.011287253,14.261445,0.011147866
9,183003.41+011619.3,277.514227,1.272043,12.28,0.03,11.05,0.04,10.38,0.03,AAA000,G031.6248+05.3369,9.59,0,9.27,0,8.92,0.01,7.75,0.02,c599 ,-1.28,0.02,DSK    ,5.8,0.9,0.3693884649,Gaia DR2 4273721849431352960,4.27372184943135E+018,277.5142384642,0.0909338142,1.2719361337,0.0927761443,2.2285799218,0.1118176972,3.1752380635,0.1989229239,-7.6584995834,0.2292804181,,,16.312666,5627.0368776419,86.4448857249,17.924078,935.2413328565,62.461613022,14.885218,8926.492665878,288.1801658806,4053.06,3275,4833.947,,,,,0.0604786222,18300341+0116191,AAA,12.283,0.03,11.053,0.035,10.382,0.026,0.0408280571,21.412735,0.09855297,19.175682,0.018298114,16.929787,0.013701161,15.603638,0.011406312,14.596426,0.011448971
