\  "Calibration of MK spectral types". Handbook of Space Astronomy and Astrophysics (3rd ed.). Cambridge University Press. p
|sptype |  Mv    |  B_V   |  U_B   |  V_R   |  R_I   |  Teff  |   BC   | 
| char  |  real  |  real  |  real  |  real  |  real  |   real |  real  |   
|       |  mag   |  mag   |  mag   |  mag   |  mag   |   K    |   mag  |   
   05V    -5.70    -0.33    -1.19    -0.15    -0.32    42000    -4.40 
   09V    -4.50    -0.31    -1.12    -0.15    -0.32    34000    -3.33 
   BOV    -4.00    -0.30    -1.08    -0.13    -0.29    30000    -3.16 
   B2V    -2.45    -0.24    -0.84    -0.10    -0.22    20900    -2.35 
   B5V    -1.20    -0.17    -0.58    -0.06    -0.16    15200    -1.46 
   B8V    -0.25    -0.11    -0.34    -0.02    -0.10    11400    -0.80 
   AOV    +0.65    -0.02    -0.02     0.02    -0.02     9790    -0.30 
   A2V    +1.30    +0.05    +0.05     0.08     0.01     9000    -0.20 
   A5V    +1.95    +0.15    +0.10     0.16     0.06     8180    -0.15 
   FOV    +2.70    +0.30    +0.03     0.30     0.17     7300    -0.09 
   F2V    +3.60    +0.35     0.00     0.35     0.20     7000    -0.11 
   F5V    +3.50    +0.44    -0.02     0.40     0.24     6650    -0.14 
   F8V    +4.00    +0.52    +0.02     0.47     0.29     6250    -0.16 
   GOV    +4.40    +0.58    +0.06     0.50     0.31     5940    -0.18 
   G2V    +4.70    +0.63    +0.12     0.53     0.33     5790    -0.20 
   G5V    +5.10    +0.68    +0.20     0.54     0.35     5560    -0.21 
   G8V    +5.50    +0.74    +0.30     0.58     0.38     5310    -0.40 
   KOV    +5.90    +0.81    +0.45     0.64     0.42     5150    -0.31 
   K2V    +6.40    +0.91    +0.64     0.74     0.48     4830    -0.42 
   K5V    +7.35    +1.15    +1.08     0.99     0.63     4410    -0.72 
   MOV    +8.80    +1.40    +1.22     1.28     0.91     3840    -1.38 
   M2V    +9.90    +1.49    +1.18     1.50     1.19     3520    -1.89 
   M5V    +12.3    +1.64    +1.24     1.80     1.67     3170    -2.73 
  G5III   +0.9     +0.86    +0.56     0.69     0.48     5050    -0.34 
  G8III   +0.8     +0.94    +0.70     0.70     0.48     4800    -0.42 
  KOIII   +0.7     +1.00    +0.84     0.77     0.53     4660    -0.50 
  K2III   +0.5     +1.16    +1.16     0.84     0.58     4390    -0.61 
  K5III   -0.2     +1.50    +1.81     1.20     0.90     4050    -1.02 
  MOIII   -0.4     +1.56    +1.87     1.23     0.94     3690    -1.25 
  M2III   -0.6     +1.60    +1.89     1.34     1.10     3540    -1.62 
  M5III   -0.3     +1.63    +1.58     2.18     1.96     3380    -2.48 
  09I     -6.5     -0.27     -1.13   -0.15    -0.32    32000    -3.18 
  B2I     -6.4     -0.17     -0.93   -0.05    -0.15    17600    -1.58 
  B5I     -6.2     -0.10     -0.72    0.02    -0.07    13600    -0.95 
  B8I     -6.2     -0.03     -0.55    0.02     0.00    11100    -0.66 
  AOI     -6.3     -0.01     -0.38    0.03     0.05     9980    -0.41 
  A2I     -6.5     +0.03     -0.25    0.07     0.07     9380    -0.28 
  A5I     -6.6     +0.09     -0.08    0.12     0.13     8610    -0.13 
  FOI     -6.6     +0.17     +0.15    0.21     0.20     7460    -0.01 
  F2I     -6.6     +0.23     +0.18    0.26     0.21     7030    -0.00 
  F5I     -6.6     +0.32     +0.27    0.35     0.23     6370    -0.03 
  F8I     -6.5     +0.56     +0.41    0.45     0.27     5750    -0.09 
  GOI     -6.4     +0.76     +0.52    0.51     0.33     5370    -0.15 
  G2I     -6.3     +0.87     +0.63    0.58     0.40     5190    -0.21 
  G5I     -6.2     +1.02     +0.83    0.67     0.44     4930    -0.33 
  G8I     -6.1     +1.14     +1.07    0.69     0.46     4700    -0.42 
  KOI     -6.0     +1.25     +1.17    0.76     0.48     4550    -0.50 
  K2I     -5.9     +1.36     +1.32    0.85     0.55     4310    -0.61 
  K5I     -5.8     +1.60     +1.80    1.20     0.90     3990    -1.01 
  MOI     -5.6     +1.67     +1.90    1.23     0.94     3620    -1.29 
  M2I     -5.6     +1.71     +1.95    1.34     1.10     3370    -1.62 
  M5I     -5.6     +1.80     +1.60    2.18     1.96     2880    -3.47 
